RuleID,Commit,File,SymlinkFile,Secret,Match,StartLine,EndLine,StartColumn,EndColumn,Author,Message,Date,Email,Fingerprint,Tags
aws-access-token,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/credentials,,AKIAIOSFODNN7EXAMPLE,AKIAIOSFODNN7EXAMPLE,2,2,22,41,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/credentials:aws-access-token:2,
aws-access-token,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/credentials.json,,AKIAXXXXXXXXXXXXXXXX,AKIAXXXXXXXXXXXXXXXX,4,4,25,44,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/credentials.json:aws-access-token:4,
slack-bot-token,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/k8s.yaml,,xoxb-123456789012-123456789012-123456789012-spectralopsxxxxxxxxxxxxxxxxxxxxxxx,xoxb-123456789012-123456789012-123456789012-spectralopsxxxxxxxxxxxxxxxxxxxxxxx,7,7,15,92,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/k8s.yaml:slack-bot-token:7,
aws-access-token,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/backend/uploader.go,,AKIAR5VZN2ZUCFNKLY6P,AKIAR5VZN2ZUCFNKLY6P,18,18,56,75,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/backend/uploader.go:aws-access-token:18,
gcp-api-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/google-api.json,,AIzaSyAMeKrIs1TirhjqYvIfZMEVHwDxgtwfeRw,"AIzaSyAMeKrIs1TirhjqYvIfZMEVHwDxgtwfeRw""",24,24,28,67,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/google-api.json:gcp-api-key:24,
generic-api-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/run.sh,,cGy4vxWFNofolvOzNDuEAIJZNKQyQ1sRdfoS,api_key=cGy4vxWFNofolvOzNDuEAIJZNKQyQ1sRdfoS,2,3,2,1,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/run.sh:generic-api-key:2,
generic-api-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/run.sh,,H2CCg5YhpUPKQsc20hUmoAEc2mwiujdN1FD1,key=H2CCg5YhpUPKQsc20hUmoAEc2mwiujdN1FD1,3,4,6,1,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/run.sh:generic-api-key:3,
generic-api-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/multicloud/terraform/azure/main.tf,,4-v3ry-53cr37-p455w0rd,"password = ""4-v3ry-53cr37-p455w0rd""",12,12,24,58,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/multicloud/terraform/azure/main.tf:generic-api-key:12,
private-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/rsa.key,,"-----BEGIN RSA PRIVATE KEY-----
MIIEowIBAAKCAQEAslIkRu5Cd9SCVAcqGbZBxGaYay3pqpcVODFNeHKAZmKr/WBI
Yd3fNBZO5XO5IPGxgbogO/ObhvVrp2vvYfSziSQtwBVfdRLhg7CIni2daI0Vm8rb
7fPK100vn+HdmxEovCMr0g5CxKfsdP+1UXek0kyd02EJbEqfM3q+Uh7xOYRVCuNL
usNQHYSViDPCRuHPafDzfHzrvhBzDkO3YoxOa3nSZrZTkoTNiWisA2lhY3FBWQx5
+YeFN8Sj7ypM5gVM/+LhSzopkUWKjVWFDG30T/RU0IKkkVT7QD85wuEWJaXe2pnl
K6aF9qU1Q8/7utBtobV4I1fgWsFiKgmYSKbxDQIDAQABAoIBAQClhNlnfYD0+ax/
kqbhdutVAmY4FkXuso5fumPOiXnlj3FVnymQrgGgt5REJ0aP7ch2Qe3puBWFEAj9
PpLUue5sPci5ox0X7o6lTheBu5WAlnSYR5QdK038ywiJv32TkjndaEgkklgncjdp
4nDLTeMP0U4uBsRYYGulvSkr0MzYNRAAftyFknMbUicL/15/Xzl0qZNtrwe6xGUE
R0RYX6kXPe2kisc6wsNF/67MCrHt2xOZCTBhYF5Qm4+yFTjracquhG+FYO1JE6qC
4Rj1W56hmJQkt2mJ4EZiD/v8kjYSFCESMqXsAiicxUaTNvV7rexMp2CvvyacSLuH
oo2IIigBAoGBAOGP53JpSS0nDTLCtpfKj9i0nrtxjyKz/2ZCO4/bOpT2h00f06kc
UQjbRB7z8p5KbZA0cufr1xGt+g1IJpSy5PEya73q4494So4FAyYwSmOHEPb9ib77
YK9oSljD0j1f1NzeZxAiDR/4LyTK+/ge+Xrsbt+F9qiLUVKuwmwpfgrxAoGBAMpi
RwFLn5rB7Kt/tHgxdJpg33MQK6Q7+gXkfUcKvIIlu/XY5SzLidP+y5V+ubMak1/a
0QNl0zJJ2c3xVFaQcEHYLM+SolcgYg7jCase+zdg1A7JXMJMQC3wGjCH9Bq9sYzM
lBgbV1NHqTksNrAJk/xKzo15jy3/t98zx0kHqW/dAoGAS6SQv4OjcKr5+B3oUfsy
RkA8QywQDllCuy5W/yVL/gy2zxxvRPUkD85IiADTSlY3a/bK2g/zLhCkHLQnjBJ6
SJDaJPSSn9h9WCdCKRpkt//hppLcENoIUIqu9BmndcGfhvpmobhpomD+nl4cJddt
XtXPUNKCJ3+hJBNLTC6WAGECgYBIf74565JISRH0ObI3oFfJ+cvyFyfbFJUzSS/L
pD/1S3kyz7kBPASqycq6SgRR8cI7g1J+qhpnGGeKy9nPjLx6Ceu7jCbVmUcnWBOd
lmKd6vTsOxwcil4vVqS7H+jFL5EMBDlFDX5R2gj37yvEEhpONaoaqiItcz62GYFZ
WwJKjQKBgFYwxXD/ffcG3R+EdFK8aUUTn/QhnCMkvqzhYn9tu91j4/tC1wC8gua8
unT4pYeH5saIQDK1AyXOT9dS20hdbdbHtbw0VOb6rVYKnieSgkvQOQCKAsVcUTsQ
P3+ZOSjom1JOLU+VKlyMLyVMp5FZgn2Pmr0ZO7KHmwJ/OLZ2UaOJ
-----END RSA PRIVATE KEY----","-----BEGIN RSA PRIVATE KEY-----
MIIEowIBAAKCAQEAslIkRu5Cd9SCVAcqGbZBxGaYay3pqpcVODFNeHKAZmKr/WBI
Yd3fNBZO5XO5IPGxgbogO/ObhvVrp2vvYfSziSQtwBVfdRLhg7CIni2daI0Vm8rb
7fPK100vn+HdmxEovCMr0g5CxKfsdP+1UXek0kyd02EJbEqfM3q+Uh7xOYRVCuNL
usNQHYSViDPCRuHPafDzfHzrvhBzDkO3YoxOa3nSZrZTkoTNiWisA2lhY3FBWQx5
+YeFN8Sj7ypM5gVM/+LhSzopkUWKjVWFDG30T/RU0IKkkVT7QD85wuEWJaXe2pnl
K6aF9qU1Q8/7utBtobV4I1fgWsFiKgmYSKbxDQIDAQABAoIBAQClhNlnfYD0+ax/
kqbhdutVAmY4FkXuso5fumPOiXnlj3FVnymQrgGgt5REJ0aP7ch2Qe3puBWFEAj9
PpLUue5sPci5ox0X7o6lTheBu5WAlnSYR5QdK038ywiJv32TkjndaEgkklgncjdp
4nDLTeMP0U4uBsRYYGulvSkr0MzYNRAAftyFknMbUicL/15/Xzl0qZNtrwe6xGUE
R0RYX6kXPe2kisc6wsNF/67MCrHt2xOZCTBhYF5Qm4+yFTjracquhG+FYO1JE6qC
4Rj1W56hmJQkt2mJ4EZiD/v8kjYSFCESMqXsAiicxUaTNvV7rexMp2CvvyacSLuH
oo2IIigBAoGBAOGP53JpSS0nDTLCtpfKj9i0nrtxjyKz/2ZCO4/bOpT2h00f06kc
UQjbRB7z8p5KbZA0cufr1xGt+g1IJpSy5PEya73q4494So4FAyYwSmOHEPb9ib77
YK9oSljD0j1f1NzeZxAiDR/4LyTK+/ge+Xrsbt+F9qiLUVKuwmwpfgrxAoGBAMpi
RwFLn5rB7Kt/tHgxdJpg33MQK6Q7+gXkfUcKvIIlu/XY5SzLidP+y5V+ubMak1/a
0QNl0zJJ2c3xVFaQcEHYLM+SolcgYg7jCase+zdg1A7JXMJMQC3wGjCH9Bq9sYzM
lBgbV1NHqTksNrAJk/xKzo15jy3/t98zx0kHqW/dAoGAS6SQv4OjcKr5+B3oUfsy
RkA8QywQDllCuy5W/yVL/gy2zxxvRPUkD85IiADTSlY3a/bK2g/zLhCkHLQnjBJ6
SJDaJPSSn9h9WCdCKRpkt//hppLcENoIUIqu9BmndcGfhvpmobhpomD+nl4cJddt
XtXPUNKCJ3+hJBNLTC6WAGECgYBIf74565JISRH0ObI3oFfJ+cvyFyfbFJUzSS/L
pD/1S3kyz7kBPASqycq6SgRR8cI7g1J+qhpnGGeKy9nPjLx6Ceu7jCbVmUcnWBOd
lmKd6vTsOxwcil4vVqS7H+jFL5EMBDlFDX5R2gj37yvEEhpONaoaqiItcz62GYFZ
WwJKjQKBgFYwxXD/ffcG3R+EdFK8aUUTn/QhnCMkvqzhYn9tu91j4/tC1wC8gua8
unT4pYeH5saIQDK1AyXOT9dS20hdbdbHtbw0VOb6rVYKnieSgkvQOQCKAsVcUTsQ
P3+ZOSjom1JOLU+VKlyMLyVMp5FZgn2Pmr0ZO7KHmwJ/OLZ2UaOJ
-----END RSA PRIVATE KEY----",1,27,1,29,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/rsa.key:private-key:1,
private-key,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6,src/infra/id_rsa,,"-----BEGIN OPENSSH PRIVATE KEY-----
b3BlbnNzaC1rZXktdjEAAAAABG5vbmUAAAAEbm9uZQAAAAAAAAABAAABlwAAAAdzc2gtcn
NhAAAAAwEAAQAAAYEA5Ar7leeUDZa1L+wV7mw43LUuge54u7DmeDmTzMQOFBEY8GuJND4h
hMBP9/6+jo5rE2RuRqaoynNewjnWTTOj0a2O27/gmb2MS72L83VdnFJDa6Ij/e95tDlK9O
PBR3ji47DWGvVwdCIzHQTJKBr8JFxUSb73Pv31u7/k5mYQdnUv/nHalLeUu0TaOfQlYGng
/hX2LF5LuNAXtRom4aziL9q2fDw5DaB9Bh35myAuDvG/eU98sWq5Haw5XMpN8FcFTSqrYV
Ed0dFBe4MY9ORYh1f8HyxGjSxbUDhWT8tCfJDAIF1cOfJ1h/32Mv6jGmLk0f/x+4WzLcbR
AnkkOOLb30FXcBMx/haTVU+adiGnysdL4p4HQGm++KdRNIA863NTb8fRCMdVAoKgeNQLqM
jCSmO2eYBGnqny9YMkK+CD6VA3ZARC0lotY3VzJv43beHBj18w8LzgBj97HWGzoyjofwOI
La6I2T8p1ZN9/qUo5ajWtbMI63/1J8rNUs8dKoBhAAAFkMgC2rLIAtqyAAAAB3NzaC1yc2
EAAAGBAOQK+5XnlA2WtS/sFe5sONy1LoHueLuw5ng5k8zEDhQRGPBriTQ+IYTAT/f+vo6O
axNkbkamqMpzXsI51k0zo9Gtjtu/4Jm9jEu9i/N1XZxSQ2uiI/3vebQ5SvTjwUd44uOw1h
r1cHQiMx0EySga/CRcVEm+9z799bu/5OZmEHZ1L/5x2pS3lLtE2jn0JWBp4P4V9ixeS7jQ
F7UaJuGs4i/atnw8OQ2gfQYd+ZsgLg7xv3lPfLFquR2sOVzKTfBXBU0qq2FRHdHRQXuDGP
TkWIdX/B8sRo0sW1A4Vk/LQnyQwCBdXDnydYf99jL+oxpi5NH/8fuFsy3G0QJ5JDji299B
V3ATMf4Wk1VPmnYhp8rHS+KeB0BpvvinUTSAPOtzU2/H0QjHVQKCoHjUC6jIwkpjtnmARp
6p8vWDJCvgg+lQN2QEQtJaLWN1cyb+N23hwY9fMPC84AY/ex1hs6Mo6H8DiC2uiNk/KdWT
ff6lKOWo1rWzCOt/9SfKzVLPHSqAYQAAAAMBAAEAAAGAbhkjWD+DSoA9oBJykDbtyRksiA
yze6Kv0tGxmwX46hVLHiA9EN0CX85djZUPOVJnPeiaGUAzc/L5h/pWjdVlvUD3HP9pl7Bd
AOBVpkg+1s8cv+V7TQmGj82tc8hWM4SYvmdNJ5ziGx+738HEwLkujPuKskQhqOcB8hB2mg
oi3p47erRLXMu5YiSe26YVOZREzUebH9ay5lqJZ6VlqkVGuuX0fsywmvSmCAMG1K9XrV1o
HVCUGjA1ia7xzuvZbzUDb+okcQCX5eOP4Tr10QicsftsyC5+lFDkFVLMxED/HsX9IEQjx5
hADWrtISNrkngopGewc38DOsqdLNvb9HjCfhhZmCjNeMDcCX3ps0/fk3RBzyktemrmsMMf
UPf3ITuqlnYlfZ9PwpfXMafM9VmOf3Rhu6wnlVwnuJt0zDE/TITVfF0zMQtLTnHtuspXZd
qcgLhFadwoYlWP4B/byzviXAidpPJ5+bOJWff+YRCK98RIdGgmhPu1pV9PjogkKB8xAAAA
wQDQWaEmdrb8o0bF4uvf46mSgLwvaQ8Y2FvBTgzrMuWarf6+6derqRzduj100oUm7G9ZIY
oztAl1swFUwH45RenUHup/d/ZX3zWSCssryjKx8H1kZG8J1XJQW39GzzerMBA++4zwsj4z
DMAOfB/SqSvs5XBB9f916b8DaGVsO+SjLxt64a4QXzlHjLMaY3NZ6YwEsBGGAVPGTxUxjw
ejKNtWFGCEYsHuKgFyM1BhThphODWEbQSIZo3foGi8l4OEZ9sAAADBAPPEk20B2U/ceuC/
HMSOv2Z6K7K8kxGRLBTrdieqjwlPj1FVhBB5OWTIxWrHfx1H2/Om1WyBslrPccKHNR4QJN
saNlgkdah5nz+/SW4AT4Fxo4WiySj+ELKsBst9hVxf9PVD4RF8Fk6phtVFgGxS2DY9ri9a
HErowfGDrSlRCkZj2bguBp6NVimO9D5eEJcWi50Cl3MJQ+WxDX32HZr0v275QuGZQ/XfuE
ZSpczVUYEVUpXlaY0iVyLk8PjZhfl2BQAAAMEA73xnsAwr8sEBPXKsKb65RKi3YsYSbfYa
9miJh0kBk5eyrf5vOAMvdDJQXB5HrY8xYe8EutbuiE5S5kI0Osiw0/UZNX42VrX0o8BVbF
iQtXYCsXkxx9Y2BeNXYxX9CnICGvD4DPA2bSuaevk7XOaBuVCB5Llf8th1uW6UiTsd57nj
N0JvxVt0MG6pdddeo7VnOZQX08p0y0F9zHjIY2OqIqYqjXrTNiEQNyiBMa7c9wRhatcW3k
EuY+AyofQUg/OtAAAAE2Zyb2lrZUBoLU1CUC1zbC1Sb2kBAgMEBQYH
-----END OPENSSH PRIVATE KEY----","-----BEGIN OPENSSH PRIVATE KEY-----
b3BlbnNzaC1rZXktdjEAAAAABG5vbmUAAAAEbm9uZQAAAAAAAAABAAABlwAAAAdzc2gtcn
NhAAAAAwEAAQAAAYEA5Ar7leeUDZa1L+wV7mw43LUuge54u7DmeDmTzMQOFBEY8GuJND4h
hMBP9/6+jo5rE2RuRqaoynNewjnWTTOj0a2O27/gmb2MS72L83VdnFJDa6Ij/e95tDlK9O
PBR3ji47DWGvVwdCIzHQTJKBr8JFxUSb73Pv31u7/k5mYQdnUv/nHalLeUu0TaOfQlYGng
/hX2LF5LuNAXtRom4aziL9q2fDw5DaB9Bh35myAuDvG/eU98sWq5Haw5XMpN8FcFTSqrYV
Ed0dFBe4MY9ORYh1f8HyxGjSxbUDhWT8tCfJDAIF1cOfJ1h/32Mv6jGmLk0f/x+4WzLcbR
AnkkOOLb30FXcBMx/haTVU+adiGnysdL4p4HQGm++KdRNIA863NTb8fRCMdVAoKgeNQLqM
jCSmO2eYBGnqny9YMkK+CD6VA3ZARC0lotY3VzJv43beHBj18w8LzgBj97HWGzoyjofwOI
La6I2T8p1ZN9/qUo5ajWtbMI63/1J8rNUs8dKoBhAAAFkMgC2rLIAtqyAAAAB3NzaC1yc2
EAAAGBAOQK+5XnlA2WtS/sFe5sONy1LoHueLuw5ng5k8zEDhQRGPBriTQ+IYTAT/f+vo6O
axNkbkamqMpzXsI51k0zo9Gtjtu/4Jm9jEu9i/N1XZxSQ2uiI/3vebQ5SvTjwUd44uOw1h
r1cHQiMx0EySga/CRcVEm+9z799bu/5OZmEHZ1L/5x2pS3lLtE2jn0JWBp4P4V9ixeS7jQ
F7UaJuGs4i/atnw8OQ2gfQYd+ZsgLg7xv3lPfLFquR2sOVzKTfBXBU0qq2FRHdHRQXuDGP
TkWIdX/B8sRo0sW1A4Vk/LQnyQwCBdXDnydYf99jL+oxpi5NH/8fuFsy3G0QJ5JDji299B
V3ATMf4Wk1VPmnYhp8rHS+KeB0BpvvinUTSAPOtzU2/H0QjHVQKCoHjUC6jIwkpjtnmARp
6p8vWDJCvgg+lQN2QEQtJaLWN1cyb+N23hwY9fMPC84AY/ex1hs6Mo6H8DiC2uiNk/KdWT
ff6lKOWo1rWzCOt/9SfKzVLPHSqAYQAAAAMBAAEAAAGAbhkjWD+DSoA9oBJykDbtyRksiA
yze6Kv0tGxmwX46hVLHiA9EN0CX85djZUPOVJnPeiaGUAzc/L5h/pWjdVlvUD3HP9pl7Bd
AOBVpkg+1s8cv+V7TQmGj82tc8hWM4SYvmdNJ5ziGx+738HEwLkujPuKskQhqOcB8hB2mg
oi3p47erRLXMu5YiSe26YVOZREzUebH9ay5lqJZ6VlqkVGuuX0fsywmvSmCAMG1K9XrV1o
HVCUGjA1ia7xzuvZbzUDb+okcQCX5eOP4Tr10QicsftsyC5+lFDkFVLMxED/HsX9IEQjx5
hADWrtISNrkngopGewc38DOsqdLNvb9HjCfhhZmCjNeMDcCX3ps0/fk3RBzyktemrmsMMf
UPf3ITuqlnYlfZ9PwpfXMafM9VmOf3Rhu6wnlVwnuJt0zDE/TITVfF0zMQtLTnHtuspXZd
qcgLhFadwoYlWP4B/byzviXAidpPJ5+bOJWff+YRCK98RIdGgmhPu1pV9PjogkKB8xAAAA
wQDQWaEmdrb8o0bF4uvf46mSgLwvaQ8Y2FvBTgzrMuWarf6+6derqRzduj100oUm7G9ZIY
oztAl1swFUwH45RenUHup/d/ZX3zWSCssryjKx8H1kZG8J1XJQW39GzzerMBA++4zwsj4z
DMAOfB/SqSvs5XBB9f916b8DaGVsO+SjLxt64a4QXzlHjLMaY3NZ6YwEsBGGAVPGTxUxjw
ejKNtWFGCEYsHuKgFyM1BhThphODWEbQSIZo3foGi8l4OEZ9sAAADBAPPEk20B2U/ceuC/
HMSOv2Z6K7K8kxGRLBTrdieqjwlPj1FVhBB5OWTIxWrHfx1H2/Om1WyBslrPccKHNR4QJN
saNlgkdah5nz+/SW4AT4Fxo4WiySj+ELKsBst9hVxf9PVD4RF8Fk6phtVFgGxS2DY9ri9a
HErowfGDrSlRCkZj2bguBp6NVimO9D5eEJcWi50Cl3MJQ+WxDX32HZr0v275QuGZQ/XfuE
ZSpczVUYEVUpXlaY0iVyLk8PjZhfl2BQAAAMEA73xnsAwr8sEBPXKsKb65RKi3YsYSbfYa
9miJh0kBk5eyrf5vOAMvdDJQXB5HrY8xYe8EutbuiE5S5kI0Osiw0/UZNX42VrX0o8BVbF
iQtXYCsXkxx9Y2BeNXYxX9CnICGvD4DPA2bSuaevk7XOaBuVCB5Llf8th1uW6UiTsd57nj
N0JvxVt0MG6pdddeo7VnOZQX08p0y0F9zHjIY2OqIqYqjXrTNiEQNyiBMa7c9wRhatcW3k
EuY+AyofQUg/OtAAAAE2Zyb2lrZUBoLU1CUC1zbC1Sb2kBAgMEBQYH
-----END OPENSSH PRIVATE KEY----",1,38,1,33,ChengaDev,first commit,2022-07-11T13:59:33Z,gazit.chen@gmail.com,1ca8b5477a5365b1dff2da36948ac58d5b5be6b6:src/infra/id_rsa:private-key:1,
